Comunidad,Punto actual más cercano,ID radio actual,Distancia actual (km),ID Alternativa 1,Coordenadas Alternativa 1,ID Alternativa 2,Coordenadas Alternativa 2,ID Alternativa 3,Coordenadas Alternativa 3
La Huerta del Potrero,"(25.20219, -111.55860)",BS0421,72.72 km,BS6504,"(24.69075, -111.51533)",BS0204,"(24.34630, -111.00151)",BS0078,"(25.02516, -111.63202)"
La IlusiÃ³n,"(24.39908, -111.11575)",BS0426,48.51 km,BS0204,"(24.34630, -111.00151)",BS8353,"(24.48875, -111.29436)",BS6502,"(24.20364, -110.94706)"
JesÃºs MarÃ­a del Cardonete,"(24.69075, -111.51533)",BS6504,36.43 km,BS0426,"(24.39908, -111.11575)",BS8355,"(24.92944, -111.62833)",BS0078,"(25.02516, -111.63202)"
La Tinaja del Caracol,"(26.84844, -111.90300)",BS0303,38.35 km,BS4549,"(26.89258, -111.98447)",BS7180,"(26.90019, -111.97272)",—,—
San Isidro,"(18.59542, -89.41772)",CA5211,44.77 km,QR8106,"(18.69908, -88.85603)",CA0034,"(18.50550, -89.39080)",CA0141,"(18.48178, -89.19664)"
X-Panzil,"(18.59542, -89.41772)",CA5211,46.22 km,CA0034,"(18.50550, -89.39080)",CA3786,"(18.50616, -89.39939)",CA0132,"(18.51192, -89.44514)"
Ninguno,"(18.62658, -90.13653)",CA5208,30.49 km,CA8737,"(18.64986, -90.28339)",CA0337,"(18.58121, -90.25639)",—,—
La Doctora,"(18.49957, -89.39858)",CA0238,32.59 km,CA0009,"(18.49931, -89.39224)",CA3786,"(18.50616, -89.39939)",CA0034,"(18.50550, -89.39080)"
Rancho Seferino,"(18.16506, -88.69200)",QR0757,59.76 km,QR0229,"(18.19151, -88.69633)",QR5595,"(18.45700, -88.92944)",QR1043,"(18.45774, -88.92373)"
El Galgo,"(18.48178, -89.19664)",CA0141,48.21 km,CA0009,"(18.49931, -89.39224)",CA0238,"(18.49957, -89.39858)",CA8726,"(18.47732, -89.16219)"
Los Pinos,"(18.47732, -89.16219)",CA8726,67.72 km,CA0141,"(18.48178, -89.19664)",QR0757,"(18.16506, -88.69200)",CA0009,"(18.49931, -89.39224)"
Los Cuatro Hermanos,"(18.49957, -89.39858)",CA0238,35.10 km,CA0009,"(18.49931, -89.39224)",CA3786,"(18.50616, -89.39939)",CA0034,"(18.50550, -89.39080)"
El Solitario,"(17.83282, -91.05866)",TB0878,33.04 km,TB0965,"(17.63190, -91.03530)",CA0375,"(17.99767, -90.40651)",CA0425,"(18.14667, -91.02824)"
Grano de Oro,"(17.83282, -91.05866)",TB0878,30.47 km,CA0425,"(18.14667, -91.02824)",CA0134,"(18.18648, -90.99318)",CA0252,"(18.18406, -91.03323)"
Los Ãngeles,"(29.27083, -101.17994)",CO4966,61.21 km,CO6921,"(29.42084, -101.11214)",CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)"
El Cedroso,"(29.42084, -101.11214)",CO6921,52.16 km,CO0133,"(29.41922, -101.07122)",CO4966,"(29.27083, -101.17994)",CO1561,"(29.37841, -101.06376)"
El CÃ­bolo,"(29.27083, -101.17994)",CO4966,134.64 km,CO6921,"(29.42084, -101.11214)",CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)"
El Cuatralbo,"(29.27083, -101.17994)",CO4966,84.35 km,CO6921,"(29.42084, -101.11214)",CO1561,"(29.37841, -101.06376)",CO0133,"(29.41922, -101.07122)"
Cuatro Palmas,"(29.27083, -101.17994)",CO4966,153.65 km,CO6921,"(29.42084, -101.11214)",CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)"
Chupadero del Caballo,"(29.27083, -101.17994)",CO4966,71.52 km,CO6921,"(29.42084, -101.11214)",CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)"
La Herradura,"(29.42084, -101.11214)",CO6921,73.44 km,CO4966,"(29.27083, -101.17994)",CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)"
El Nopal,"(29.27083, -101.17994)",CO4966,66.96 km,CO6921,"(29.42084, -101.11214)",CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)"
Rancho Nuevo,"(29.27083, -101.17994)",CO4966,155.83 km,CO6921,"(29.42084, -101.11214)",CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)"
Valle de la Palma (Las Palmas),"(29.27083, -101.17994)",CO4966,95.38 km,CO6921,"(29.42084, -101.11214)",CO1561,"(29.37841, -101.06376)",CO0133,"(29.41922, -101.07122)"
Pico EtÃ©reo,"(29.27083, -101.17994)",CO4966,155.13 km,CO6921,"(29.42084, -101.11214)",CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)"
San Ignacio,"(29.42084, -101.11214)",CO6921,62.00 km,CO4966,"(29.27083, -101.17994)",CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)"
San Esteban,"(29.27083, -101.17994)",CO4966,97.51 km,CO6921,"(29.42084, -101.11214)",CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)"
Alfredo V. Bonfil,"(29.42084, -101.11214)",CO6921,31.96 km,CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)",CO4966,"(29.27083, -101.17994)"
El Coyote,"(29.42084, -101.11214)",CO6921,101.24 km,CO4966,"(29.27083, -101.17994)",CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)"
El Moro (Paso del Moro),"(29.42084, -101.11214)",CO6921,110.32 km,CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)",CO9801,"(29.34483, -101.00987)"
La Reforma,"(29.42084, -101.11214)",CO6921,90.53 km,CO4966,"(29.27083, -101.17994)",CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)"
San JosÃ© (El CÃ­bolo),"(29.27083, -101.17994)",CO4966,135.66 km,CO6921,"(29.42084, -101.11214)",CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)"
La PeÃ±a,"(29.27083, -101.17994)",CO4966,152.39 km,CO6921,"(29.42084, -101.11214)",CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)"
Los Albertos (Los Cuates),"(29.42084, -101.11214)",CO6921,61.37 km,CO4966,"(29.27083, -101.17994)",CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)"
La HuÃ©rfana,"(29.27083, -101.17994)",CO4966,61.01 km,CO6921,"(29.42084, -101.11214)",CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)"
El Pira,"(29.27083, -101.17994)",CO4966,51.89 km,CO6921,"(29.42084, -101.11214)",CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)"
La Esperanza,"(29.27083, -101.17994)",CO4966,33.86 km,CO6921,"(29.42084, -101.11214)",CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)"
Agua Chile [Mina],"(29.27083, -101.17994)",CO4966,152.03 km,CO6921,"(29.42084, -101.11214)",CO6924,"(28.10228, -101.62140)",CO0133,"(29.41922, -101.07122)"
Altamira,"(29.27083, -101.17994)",CO4966,106.04 km,CO6921,"(29.42084, -101.11214)",CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)"
La Fortuna,"(29.27083, -101.17994)",CO4966,147.58 km,CO6921,"(29.42084, -101.11214)",CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)"
La Herradura,"(29.27083, -101.17994)",CO4966,153.89 km,CO6921,"(29.42084, -101.11214)",CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)"
Los Indios,"(29.27083, -101.17994)",CO4966,114.83 km,CO6921,"(29.42084, -101.11214)",CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)"
El ParaÃ­so,"(29.27083, -101.17994)",CO4966,78.56 km,CO6921,"(29.42084, -101.11214)",CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)"
Piedra Azul,"(29.27083, -101.17994)",CO4966,157.70 km,CO6924,"(28.10228, -101.62140)",CO2920,"(27.99419, -101.71100)",CO6921,"(29.42084, -101.11214)"
Piedra Blanca,"(29.27083, -101.17994)",CO4966,145.55 km,CO2920,"(27.99419, -101.71100)",CO6921,"(29.42084, -101.11214)",CO1758,"(28.75587, -101.08341)"
La Pistola,"(29.42084, -101.11214)",CO6921,40.19 km,CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)",CO4966,"(29.27083, -101.17994)"
Santa Margarita,"(29.42084, -101.11214)",CO6921,43.19 km,CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)",CO9801,"(29.34483, -101.00987)"
La Tinaja,"(29.54413, -104.40682)",CH3313,178.82 km,CH0726,"(29.53564, -104.41175)",CH3948,"(29.56516, -104.41052)",CH0473,"(29.52811, -104.42381)"
Los Papalotes,"(29.27083, -101.17994)",CO4966,107.57 km,CO6921,"(29.42084, -101.11214)",CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)"
La Mula,"(29.27083, -101.17994)",CO4966,154.15 km,CO6924,"(28.10228, -101.62140)",CO2920,"(27.99419, -101.71100)",CO6921,"(29.42084, -101.11214)"
La Copa,"(29.27083, -101.17994)",CO4966,162.74 km,CO6921,"(29.42084, -101.11214)",CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)"
La AviaciÃ³n,"(29.42084, -101.11214)",CO6921,68.44 km,CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)",CO9801,"(29.34483, -101.00987)"
Loma Blanca,"(29.42084, -101.11214)",CO6921,116.07 km,CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)",CO9801,"(29.34483, -101.00987)"
El Burro,"(29.27083, -101.17994)",CO4966,70.04 km,CO6921,"(29.42084, -101.11214)",CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)"
La Sierra (Los Vaqueros),"(29.27083, -101.17994)",CO4966,151.55 km,CO6921,"(29.42084, -101.11214)",CO1758,"(28.75587, -101.08341)",CO1561,"(29.37841, -101.06376)"
El Venado,"(29.42084, -101.11214)",CO6921,34.40 km,CO0133,"(29.41922, -101.07122)",CO4966,"(29.27083, -101.17994)",CO1561,"(29.37841, -101.06376)"
San Antonio (Campo San Antonio),"(29.42084, -101.11214)",CO6921,33.58 km,CO0133,"(29.41922, -101.07122)",CO4966,"(29.27083, -101.17994)",CO1561,"(29.37841, -101.06376)"
La Mula,"(29.27083, -101.17994)",CO4966,108.16 km,CO6921,"(29.42084, -101.11214)",CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)"
San Juan,"(29.27083, -101.17994)",CO4966,96.21 km,CO6921,"(29.42084, -101.11214)",CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)"
Los PÃ¡jaros,"(29.27083, -101.17994)",CO4966,107.18 km,CO6921,"(29.42084, -101.11214)",CO0133,"(29.41922, -101.07122)",CO1561,"(29.37841, -101.06376)"
El Centinela,"(29.27083, -101.17994)",CO4966,156.79 km,CO6921,"(29.42084, -101.11214)",CO1758,"(28.75587, -101.08341)",CO1561,"(29.37841, -101.06376)"
La Mula (JuliÃ¡n MartÃ­nez Salazar),"(29.27083, -101.17994)",CO4966,149.53 km,CO6924,"(28.10228, -101.62140)",CO2920,"(27.99419, -101.71100)",CO6921,"(29.42084, -101.11214)"
Santiago HernÃ¡ndez RodrÃ­guez,"(29.27083, -101.17994)",CO4966,141.47 km,CO6924,"(28.10228, -101.62140)",CO6921,"(29.42084, -101.11214)",CO2920,"(27.99419, -101.71100)"
La Candelaria (Edgar Escobedo Quiroz),"(29.27083, -101.17994)",CO4966,139.05 km,CO2920,"(27.99419, -101.71100)",CO6921,"(29.42084, -101.11214)",CO1758,"(28.75587, -101.08341)"
La PezuÃ±a,"(26.11431, -103.44030)",DU0320,60.94 km,DU3925,"(26.10591, -103.44413)",CO0739,"(25.94455, -103.23143)",CO7010,"(25.87645, -103.13462)"
El Coyote,"(28.24257, -100.29047)",CO6914,34.21 km,CO3557,"(28.21900, -100.58436)",CO8015,"(27.98569, -100.01242)",CO8045,"(28.32103, -100.38356)"
San CristÃ³bal (Los Cabezones),"(28.10228, -101.62140)",CO6924,60.09 km,CO2920,"(27.99419, -101.71100)",CO0426,"(27.98296, -101.42510)",CO0111,"(27.89353, -101.52748)"
San Javier,"(28.10228, -101.62140)",CO6924,46.42 km,CO2920,"(27.99419, -101.71100)",CO0426,"(27.98296, -101.42510)",—,—
San Ignacio,"(28.10228, -101.62140)",CO6924,38.23 km,CO2920,"(27.99419, -101.71100)",—,—,—,—
Los Pintos,"(28.10228, -101.62140)",CO6924,42.11 km,CO2920,"(27.99419, -101.71100)",—,—,—,—
Kikapoo,"(28.10228, -101.62140)",CO6924,35.90 km,CO2920,"(27.99419, -101.71100)",—,—,—,—
El Indio (Lucio Lozano),"(27.99419, -101.71100)",CO2920,34.05 km,CO6924,"(28.10228, -101.62140)",—,—,—,—
Puesto el MelÃ³n,"(28.10228, -101.62140)",CO6924,93.71 km,CO2920,"(27.99419, -101.71100)",CO0111,"(27.89353, -101.52748)",CO9802,"(27.87514, -101.53833)"
Los Lirios,"(28.10228, -101.62140)",CO6924,130.04 km,CO2920,"(27.99419, -101.71100)",CO0111,"(27.89353, -101.52748)",CO9802,"(27.87514, -101.53833)"
Eugenio HernÃ¡ndez MartÃ­nez,"(28.10228, -101.62140)",CO6924,118.60 km,CO2920,"(27.99419, -101.71100)",CO0111,"(27.89353, -101.52748)",CO9802,"(27.87514, -101.53833)"
Sergio TreviÃ±o,"(28.10228, -101.62140)",CO6924,116.39 km,CO2920,"(27.99419, -101.71100)",CO0111,"(27.89353, -101.52748)",CO9802,"(27.87514, -101.53833)"
Blas RodrÃ­guez,"(28.10228, -101.62140)",CO6924,122.48 km,CO2920,"(27.99419, -101.71100)",CO4966,"(29.27083, -101.17994)",CO1758,"(28.75587, -101.08341)"
Los Pintos,"(28.10228, -101.62140)",CO6924,42.55 km,CO2920,"(27.99419, -101.71100)",—,—,—,—
El Treinta,"(28.10228, -101.62140)",CO6924,35.11 km,CO0426,"(27.98296, -101.42510)",CO8185,"(28.20411, -101.06189)",CO2868,"(27.93807, -101.28644)"
La Pedrera,"(28.10228, -101.62140)",CO6924,117.43 km,CO0111,"(27.89353, -101.52748)",CO9802,"(27.87514, -101.53833)",CO0717,"(27.88948, -101.51544)"
Las Mangas (Pilo Canales),"(27.99419, -101.71100)",CO2920,43.59 km,CO6924,"(28.10228, -101.62140)",—,—,—,—
Maravillas (Beto Canales),"(27.99419, -101.71100)",CO2920,33.54 km,CO6924,"(28.10228, -101.62140)",—,—,—,—
Nuevo PeÃ±alba (El Ãguila),"(27.32269, -102.40043)",CO1085,70.96 km,CO1134,"(27.30747, -102.39481)",CO0071,"(27.02522, -103.36592)",CO0072,"(28.04136, -103.78378)"
La Mora,"(27.32269, -102.40043)",CO1085,46.33 km,CO1134,"(27.30747, -102.39481)",—,—,—,—
Norias del Caballo,"(28.04136, -103.78378)",CO0072,86.86 km,CO1085,"(27.32269, -102.40043)",CO1134,"(27.30747, -102.39481)",CO6932,"(27.08889, -102.17861)"
El Mirador (El Papalote),"(27.30747, -102.39481)",CO1134,54.78 km,CO1085,"(27.32269, -102.40043)",CO0071,"(27.02522, -103.36592)",CO6932,"(27.08889, -102.17861)"
Pedro Prieto,"(27.08889, -102.17861)",CO6932,35.44 km,CO0584,"(27.04400, -101.79394)",CO0585,"(27.00416, -101.87673)",CO0906,"(26.99056, -102.05166)"
La Presita,"(27.99419, -101.71100)",CO2920,104.01 km,CO1085,"(27.32269, -102.40043)",CO1134,"(27.30747, -102.39481)",CO6924,"(28.10228, -101.62140)"
El Granizo (Santa MarÃ­a de los Ãngeles),"(27.99419, -101.71100)",CO2920,125.20 km,CO0072,"(28.04136, -103.78378)",CO6924,"(28.10228, -101.62140)",CO1085,"(27.32269, -102.40043)"
Las Ãnimas,"(27.32269, -102.40043)",CO1085,66.57 km,CO1134,"(27.30747, -102.39481)",CO0071,"(27.02522, -103.36592)",CO6932,"(27.08889, -102.17861)"
El Fuste,"(27.32269, -102.40043)",CO1085,56.07 km,CO1134,"(27.30747, -102.39481)",CO0071,"(27.02522, -103.36592)",—,—
La Luz,"(27.32269, -102.40043)",CO1085,38.92 km,CO1134,"(27.30747, -102.39481)",—,—,—,—
Palmira,"(27.32269, -102.40043)",CO1085,58.90 km,CO1134,"(27.30747, -102.39481)",CO0071,"(27.02522, -103.36592)",—,—
Santa MarÃ­a,"(27.32269, -102.40043)",CO1085,41.07 km,CO1134,"(27.30747, -102.39481)",—,—,—,—
La Palma,"(27.02522, -103.36592)",CO0071,53.66 km,CO1085,"(27.32269, -102.40043)",CO1134,"(27.30747, -102.39481)",—,—
Laguna de la Leche (La Pompa),"(27.32269, -102.40043)",CO1085,53.31 km,CO1134,"(27.30747, -102.39481)",CO0071,"(27.02522, -103.36592)",CO6932,"(27.08889, -102.17861)"
La Bayoneta,"(27.32269, -102.40043)",CO1085,51.76 km,CO1134,"(27.30747, -102.39481)",—,—,—,—
El Mirador,"(27.02522, -103.36592)",CO0071,72.74 km,CO1085,"(27.32269, -102.40043)",CO0072,"(28.04136, -103.78378)",CO1134,"(27.30747, -102.39481)"
El RevÃ©s (Puerto del Aire),"(27.99419, -101.71100)",CO2920,83.57 km,CO1085,"(27.32269, -102.40043)",CO1134,"(27.30747, -102.39481)",CO6924,"(28.10228, -101.62140)"
Rancho Nuevo,"(27.99419, -101.71100)",CO2920,100.02 km,CO6924,"(28.10228, -101.62140)",CO9802,"(27.87514, -101.53833)",CO0111,"(27.89353, -101.52748)"
San Isidro,"(27.32269, -102.40043)",CO1085,79.87 km,CO1134,"(27.30747, -102.39481)",CO2920,"(27.99419, -101.71100)",CO6932,"(27.08889, -102.17861)"
Tanque de las Termopilas,"(28.04136, -103.78378)",CO0072,158.99 km,CH3313,"(29.54413, -104.40682)",CH0726,"(29.53564, -104.41175)",CH5593,"(29.19939, -104.46642)"
El Caballo (Antonio Tapia GonzÃ¡lez),"(28.10228, -101.62140)",CO6924,156.32 km,CO2920,"(27.99419, -101.71100)",CO0072,"(28.04136, -103.78378)",CO4966,"(29.27083, -101.17994)"
El Mensajero,"(28.04136, -103.78378)",CO0072,150.75 km,CO2920,"(27.99419, -101.71100)",CO6924,"(28.10228, -101.62140)",CO0111,"(27.89353, -101.52748)"
El JardÃ­n Viejo,"(29.27083, -101.17994)",CO4966,166.12 km,CO0072,"(28.04136, -103.78378)",CO6921,"(29.42084, -101.11214)",CO1758,"(28.75587, -101.08341)"
Las Lupes,"(28.10228, -101.62140)",CO6924,152.35 km,CO2920,"(27.99419, -101.71100)",CO0072,"(28.04136, -103.78378)",CO4966,"(29.27083, -101.17994)"
La Media Luna,"(28.10228, -101.62140)",CO6924,152.37 km,CO2920,"(27.99419, -101.71100)",CO0072,"(28.04136, -103.78378)",CO4966,"(29.27083, -101.17994)"
El Caballo de Maka,"(28.10228, -101.62140)",CO6924,153.95 km,CO2920,"(27.99419, -101.71100)",CO0072,"(28.04136, -103.78378)",CO4966,"(29.27083, -101.17994)"
La Paloma,"(27.02522, -103.36592)",CO0071,53.03 km,CO1134,"(27.30747, -102.39481)",CO1085,"(27.32269, -102.40043)",—,—
Santa Fe,"(28.04136, -103.78378)",CO0072,59.34 km,CO0071,"(27.02522, -103.36592)",—,—,—,—
San Pedro (La Pistola),"(28.04136, -103.78378)",CO0072,60.81 km,CO0071,"(27.02522, -103.36592)",—,—,—,—
El Silencio,"(28.04136, -103.78378)",CO0072,125.89 km,CO2920,"(27.99419, -101.71100)",CO6924,"(28.10228, -101.62140)",CO1085,"(27.32269, -102.40043)"
El Cuervo,"(25.34178, -101.63925)",CO0422,31.38 km,CO1800,"(25.32581, -101.42446)",CO9559,"(25.37506, -101.47886)",CO4980,"(25.28949, -101.33331)"
Cerros GÃ¼eros,"(24.66332, -101.71454)",ZA1130,38.18 km,CO4980,"(25.28949, -101.33331)",CO1800,"(25.32581, -101.42446)",CO4981,"(24.86534, -101.08529)"
La Majada de Margarito,"(25.28949, -101.33331)",CO4980,30.02 km,CO1800,"(25.32581, -101.42446)",CO0743,"(25.25664, -101.21864)",CO1834,"(25.25066, -101.21314)"
El Cuarto de Don BenjamÃ­n,"(25.32581, -101.42446)",CO1800,31.73 km,CO0422,"(25.34178, -101.63925)",CO4980,"(25.28949, -101.33331)",CO9559,"(25.37506, -101.47886)"
El Diablo,"(25.34178, -101.63925)",CO0422,49.21 km,CO9847,"(25.45975, -102.17326)",CO0395,"(25.45077, -102.19157)",ZA1130,"(24.66332, -101.71454)"
La Encantada,"(28.10228, -101.62140)",CO6924,101.88 km,CO0111,"(27.89353, -101.52748)",CO9802,"(27.87514, -101.53833)",CO0717,"(27.88948, -101.51544)"
La Palma,"(28.10228, -101.62140)",CO6924,99.95 km,CO0111,"(27.89353, -101.52748)",CO9802,"(27.87514, -101.53833)",CO0717,"(27.88948, -101.51544)"
El Colmenar (San Esteban),"(27.99419, -101.71100)",CO2920,33.71 km,CO9802,"(27.87514, -101.53833)",CO0111,"(27.89353, -101.52748)",CO1843,"(27.87072, -101.51097)"
Santa Elena,"(27.99419, -101.71100)",CO2920,38.11 km,CO9802,"(27.87514, -101.53833)",CO0111,"(27.89353, -101.52748)",CO1843,"(27.87072, -101.51097)"
La Laguna del Sauz,"(27.58694, -101.47528)",CO0427,35.61 km,CO9802,"(27.87514, -101.53833)",CO1843,"(27.87072, -101.51097)",CO0111,"(27.89353, -101.52748)"
Miguel Ãngel Villarreal MuÃ±oz (Puerto Sabana),"(27.99419, -101.71100)",CO2920,50.26 km,CO1085,"(27.32269, -102.40043)",CO1134,"(27.30747, -102.39481)",CO9802,"(27.87514, -101.53833)"
El Porvenir,"(28.04136, -103.78378)",CO0072,54.27 km,CO0071,"(27.02522, -103.36592)",—,—,—,—
Las Norias (San Isidro de las Norias),"(28.04136, -103.78378)",CO0072,55.98 km,CO0071,"(27.02522, -103.36592)",—,—,—,—
Erasmo,"(27.02522, -103.36592)",CO0071,54.82 km,CO0072,"(28.04136, -103.78378)",—,—,—,—
Las Flores,"(27.72711, -100.88903)",CO1530,33.87 km,CO3557,"(28.21900, -100.58436)",CO6749,"(28.22418, -100.72514)",CO2096,"(27.61407, -100.71648)"
El GavilÃ¡n,"(29.27083, -101.17994)",CO4966,52.25 km,CO6921,"(29.42084, -101.11214)",CO1561,"(29.37841, -101.06376)",CO0133,"(29.41922, -101.07122)"
El TrÃ©bol,"(28.75587, -101.08341)",CO1758,37.13 km,CO0132,"(28.72350, -100.91258)",—,—,—,—
La Rosita (Gilberto Villarreal Garza),"(29.27083, -101.17994)",CO4966,42.71 km,CO8985,"(29.07083, -101.03062)",CO6921,"(29.42084, -101.11214)",CO1561,"(29.37841, -101.06376)"
Los Montalvo,"(29.27083, -101.17994)",CO4966,31.46 km,CO6921,"(29.42084, -101.11214)",CO8985,"(29.07083, -101.03062)",—,—
Los Portales,"(29.27083, -101.17994)",CO4966,32.73 km,CO8985,"(29.07083, -101.03062)",CO6921,"(29.42084, -101.11214)",—,—
El Porvenir,"(29.27083, -101.17994)",CO4966,32.99 km,CO6921,"(29.42084, -101.11214)",CO8985,"(29.07083, -101.03062)",—,—
Agua de JuliÃ¡n,"(29.27083, -101.17994)",CO4966,47.86 km,CO8985,"(29.07083, -101.03062)",CO1758,"(28.75587, -101.08341)",CO6921,"(29.42084, -101.11214)"
Las AmÃ©ricas,"(29.27083, -101.17994)",CO4966,30.91 km,CO8985,"(29.07083, -101.03062)",—,—,—,—
El Becerro,"(29.27083, -101.17994)",CO4966,33.23 km,CO8985,"(29.07083, -101.03062)",CO1758,"(28.75587, -101.08341)",—,—
El ChapulÃ­n,"(29.27083, -101.17994)",CO4966,34.81 km,CO8985,"(29.07083, -101.03062)",CO6921,"(29.42084, -101.11214)",—,—
El Rayo,"(29.27083, -101.17994)",CO4966,34.25 km,CO8985,"(29.07083, -101.03062)",CO1758,"(28.75587, -101.08341)",—,—
Siete Hermanos,"(28.75587, -101.08341)",CO1758,57.11 km,CO6924,"(28.10228, -101.62140)",CO8985,"(29.07083, -101.03062)",CO0132,"(28.72350, -100.91258)"
La Ventana,"(29.27083, -101.17994)",CO4966,37.55 km,CO8985,"(29.07083, -101.03062)",CO1758,"(28.75587, -101.08341)",CO6921,"(29.42084, -101.11214)"
La VÃ­bora,"(29.27083, -101.17994)",CO4966,35.93 km,CO8985,"(29.07083, -101.03062)",CO1758,"(28.75587, -101.08341)",CO1561,"(29.37841, -101.06376)"
La Codorniz (La Godorniz),"(29.27083, -101.17994)",CO4966,44.09 km,CO6921,"(29.42084, -101.11214)",CO1561,"(29.37841, -101.06376)",CO0133,"(29.41922, -101.07122)"
San Vicente,"(29.27083, -101.17994)",CO4966,80.32 km,CO6921,"(29.42084, -101.11214)",CO8985,"(29.07083, -101.03062)",CO1758,"(28.75587, -101.08341)"
Los Cuates,"(29.27083, -101.17994)",CO4966,40.74 km,CO6921,"(29.42084, -101.11214)",CO1561,"(29.37841, -101.06376)",CO8985,"(29.07083, -101.03062)"
Juan Castro GuzmÃ¡n,"(29.27083, -101.17994)",CO4966,37.88 km,CO8985,"(29.07083, -101.03062)",CO6921,"(29.42084, -101.11214)",CO1561,"(29.37841, -101.06376)"
Predio la LecherÃ­a,"(29.27083, -101.17994)",CO4966,41.74 km,CO8985,"(29.07083, -101.03062)",CO1758,"(28.75587, -101.08341)",CO6921,"(29.42084, -101.11214)"
Agua del Oso,"(29.27083, -101.17994)",CO4966,45.01 km,CO8985,"(29.07083, -101.03062)",CO6921,"(29.42084, -101.11214)",CO1758,"(28.75587, -101.08341)"
Pedro de Luna de la Garza,"(29.27083, -101.17994)",CO4966,36.40 km,CO6921,"(29.42084, -101.11214)",CO8985,"(29.07083, -101.03062)",CO1561,"(29.37841, -101.06376)"
El Huizache,"(29.27083, -101.17994)",CO4966,48.58 km,CO6921,"(29.42084, -101.11214)",CO1561,"(29.37841, -101.06376)",CO0133,"(29.41922, -101.07122)"
Las Pilas Cuatas,"(29.27083, -101.17994)",CO4966,65.58 km,CO6921,"(29.42084, -101.11214)",CO8985,"(29.07083, -101.03062)",CO1561,"(29.37841, -101.06376)"
CaÃ±Ã³n el Pino,"(29.27083, -101.17994)",CO4966,79.39 km,CO6921,"(29.42084, -101.11214)",CO1561,"(29.37841, -101.06376)",CO0133,"(29.41922, -101.07122)"
